Protein	S.cerevisiae	A.fumigatus	C.neoformans	C.parapsilosis	F.graminearum	S.bayanus	L.kluyveri	S.mikatae	S.paradoxus	M.oryzae	N.crassa	S.pombe	A.nidulans	C.glabrata	C.albicans	N.castellii	N.discreta	N.tetrasperma	S.kudriavzevii
NP_013167.1	0.0218078243457	0.011984182400799999	0.00543416718269	0.00956742204848	0.0316216629812	0.0117771650334	0.015184324606000001	0.0117771650334	0.0218078243457	0.005820332309279999	0.0636359944657	0.00038721041570099996	0.0106234982531	0.0434075233137	0.045598842164	0.0374547679949	0.0636359944657	0.0636359944657	0.0520758012672
NP_012639.1	0.0191861333065	0.0221155111686	0.00748054959537	0.019632425473599998	0.0373559193223	0.00760147162626	0.0039959482786600005	0.00760147162626	0.0191861333065	0.00335127352434	0.120074636602	0.0322011057658	0.00869254654969	0.00947336364707	0.0209923269623	0.00578953045146	0.120074636602	0.120074636602	0.022918793561
NP_011355.1	0.0126432781405	NA	NA	0.020450864825099998	NA	0.019029847382900002	0.027503836712	0.019029847382900002	0.0126432781405	NA	NA	NA	NA	0.0039205831516	0.0182143916647	0.0730504282032	NA	NA	0.0289305251732
NP_009735.3	0.0227654403506	0.034055122151200004	0.033814584150499996	0.004429065649140001	0.00641755580067	0.04092159184869999	0.00909484661496	0.04092159184869999	0.0227654403506	0.00550496331059	0.040952683762	0.128043439953	0.028929924341199998	0.07314604833100001	0.012310042107299999	0.025217582368099997	0.040952683762	0.040952683762	0.0059050395086
NP_012532.3	0.023092594468900003	0.009169268719719998	0.0192809903151	0.0208625625744	0.009523011400200001	0.0257806681121	0.010953990526	0.0257806681121	0.023092594468900003	0.0065726049098800005	0.0384994558395	0.05829599759819999	0.0227551455498	0.0215983822161	0.00774997626543	0.0220919234173	0.0384994558395	0.0384994558395	0.0103889926118
NP_014546.1	0.0111922228908	NA	NA	0.0226437644515	NA	0.012443315379000001	0.040323779115	0.012443315379000001	0.0111922228908	NA	NA	NA	NA	0.0612835159469	0.0325534362852	0.0263966245009	NA	NA	0.00015937942931
NP_011857.2	0.0247500361395	NA	NA	NA	NA	0.08036519967660001	0.00651345123376	0.08036519967660001	0.0247500361395	NA	NA	NA	NA	0.0573518037316	NA	0.025061652478099997	NA	NA	0.0866330870162
NP_010240.1	0.0490888645342	NA	NA	NA	NA	0.019543496161799997	0.0121726628827	0.019543496161799997	0.0490888645342	NA	NA	NA	NA	0.0178944651406	NA	0.011185683399100001	NA	NA	0.0288067931623
NP_011591.1	0.0106027298572	NA	NA	NA	NA	0.005938923185580001	0.0350681658571	0.005938923185580001	0.0106027298572	NA	NA	NA	NA	0.0165569620452	NA	0.0632160993277	NA	NA	0.0329767864016
NP_010271.3	0.018302670099400002	NA	NA	NA	NA	0.008605421066870001	0.000484805921857	0.008605421066870001	0.018302670099400002	NA	NA	NA	NA	0.0189126913798	NA	0.0126766570967	NA	NA	0.0043776001027
NP_011722.3	0.0701849263938	NA	NA	NA	NA	0.0653864022487	0.025149962874699998	0.0653864022487	0.0701849263938	NA	NA	NA	NA	0.0160577615875	NA	0.016074793810299998	NA	NA	0.0980300775202
NP_012343.1	0.0072716649972399995	NA	NA	NA	NA	0.0077281278815799995	0.05648684970099999	0.0077281278815799995	0.0072716649972399995	NA	NA	NA	NA	0.0775074608694	NA	0.038874837237800004	NA	NA	0.0381009831779
NP_011598.3	0.013096207955799999	NA	NA	NA	NA	7.4909788714e-05	0.00199559894844	7.4909788714e-05	0.013096207955799999	NA	NA	NA	NA	0.0416317462469	NA	0.0184158219958	NA	NA	0.00465323334203
NP_011289.1	0.0241582850722	NA	NA	NA	NA	0.0161004728225	0.10305237127	0.0161004728225	0.0241582850722	NA	NA	NA	NA	0.0341394732952	NA	0.0295608200355	NA	NA	0.0536770701454
