Protein_1	Protein_2	Type	Score
NP_011848.1	NP_014262.3	binding	280
NP_010462.3	NP_011026.3	binding	267
NP_013602.1	NP_014811.3	binding	321
NP_009635.1	NP_010888.1	binding	258
NP_011075.3	NP_011702.1	binding	711
NP_011702.1	NP_012865.1	binding	670
NP_012602.3	NP_014867.1	binding	910
NP_009806.3	NP_014093.1	binding	267
NP_011098.3	NP_012070.3	binding	623
NP_012292.3	NP_014017.1	binding	900
NP_014788.1	NP_015199.1	binding	933
NP_010478.3	NP_011092.1	binding	274
NP_009635.1	NP_010065.2	binding	336
NP_010652.3	NP_013317.1	binding	295
NP_012426.1	NP_014091.1	binding	955
NP_010578.3	NP_013482.1	binding	349
NP_010461.3	NP_013963.1	binding	951
NP_010138.1	NP_014855.3	binding	916
NP_011437.3	NP_012989.3	binding	720
NP_014400.1	NP_015435.1	binding	976
NP_012151.1	NP_013451.1	binding	307
NP_010736.3	NP_011382.1	binding	264
NP_009530.1	NP_012445.1	binding	800
NP_009806.3	NP_014262.3	binding	267
NP_013064.1	NP_015489.1	binding	234
NP_009841.1	NP_014214.1	binding	879
NP_011277.1	NP_015197.1	binding	611
NP_013122.1	NP_013764.1	binding	193
NP_010376.3	NP_013093.1	binding	900
NP_009701.3	NP_013341.1	binding	256
NP_014434.1	NP_014619.1	binding	493
NP_012897.3	NP_015317.1	binding	269
NP_013293.1	NP_014221.3	binding	227
NP_011631.1	NP_014853.3	binding	703
NP_010321.1	NP_010326.1	binding	781
NP_012712.1	NP_013975.1	binding	912
NP_011661.2	NP_013513.3	binding	910
NP_012865.1	NP_015335.1	binding	302
NP_009730.3	NP_014897.1	binding	860
NP_010717.1	NP_011568.3	binding	361
NP_012036.1	NP_014217.1	binding	190
NP_014930.1	NP_015463.1	binding	915
NP_011605.1	NP_013956.1	binding	336
NP_010254.1	NP_013379.1	binding	172
NP_011020.3	NP_011467.1	binding	985
NP_011617.1	NP_013093.1	binding	989
NP_010877.3	NP_011892.1	binding	695
NP_014044.1	NP_014818.1	binding	497
NP_011075.3	NP_014359.3	binding	961
NP_009796.1	NP_014154.1	binding	422
NP_010942.1	NP_014793.1	binding	286
NP_010624.3	NP_014221.3	binding	361
NP_011605.1	NP_013317.1	binding	271
NP_011392.1	NP_014013.1	binding	280
NP_009621.3	NP_012845.1	binding	426
NP_011966.1	NP_015106.1	binding	985
NP_009917.1	NP_013408.1	binding	268
NP_009356.1	NP_010413.3	binding	222
NP_009990.1	NP_012584.3	binding	905
NP_014436.1	NP_015282.1	binding	900
NP_013298.1	NP_014221.3	binding	900
NP_009935.1	NP_010414.3	binding	269
NP_011520.2	NP_011605.1	binding	909
NP_012056.1	NP_014392.3	binding	988
NP_012056.1	NP_014392.3	binding	522
NP_009637.1	NP_009734.1	binding	203
NP_012778.1	NP_015516.1	binding	969
NP_010280.1	NP_010609.1	binding	720
NP_013705.1	NP_014527.1	binding	733
NP_009359.1	NP_011043.1	binding	401
NP_014621.1	NP_015296.1	binding	923
NP_010002.3	NP_010121.1	binding	742
NP_009370.1	NP_014802.3	binding	905
NP_010128.1	NP_015463.1	binding	985
NP_010136.1	NP_011309.1	binding	914
NP_009551.2	NP_014849.3	binding	850
NP_009984.1	NP_013323.1	binding	985
NP_011734.3	NP_012779.1	binding	606
NP_010770.3	NP_014802.3	binding	670
NP_013175.1	NP_015341.1	binding	962
NP_013764.1	NP_014324.3	binding	985
NP_009935.1	NP_010524.3	binding	197
NP_013360.1	NP_014663.1	binding	615
NP_010219.1	NP_013643.1	binding	192
NP_010086.2	NP_013179.1	binding	311
NP_012466.1	NP_014633.1	binding	985
NP_710144.3	NP_013009.1	binding	900
NP_013103.1	NP_014267.1	binding	914
NP_009637.1	NP_014292.3	binding	384
NP_013341.1	NP_014149.1	binding	206
NP_009990.1	NP_010652.3	binding	979
NP_011604.3	NP_015313.1	binding	900
NP_013956.1	NP_014221.3	binding	932
NP_009530.1	NP_013642.1	binding	900
NP_013727.1	NP_013847.1	binding	900
NP_011486.1	NP_014338.3	binding	900
NP_012772.1	NP_015071.1	binding	232
NP_010313.3	NP_015381.1	binding	900
NP_014289.1	NP_015282.1	binding	900
NP_010133.1	NP_010585.3	binding	910
NP_116654.1	NP_013109.1	binding	286
NP_011020.3	NP_014800.3	binding	985
NP_010476.1	NP_011516.1	binding	990
NP_009388.2	NP_013924.1	binding	800
NP_011321.1	NP_015309.1	binding	273
NP_012599.3	NP_013441.1	binding	769
NP_009551.2	NP_015313.1	binding	900
NP_010529.3	NP_015111.1	binding	428
NP_013703.1	NP_014867.1	binding	985
NP_010786.3	NP_011523.3	binding	900
NP_011472.1	NP_015147.1	binding	167
NP_009551.2	NP_010888.1	binding	901
NP_011604.3	NP_015437.1	binding	928
NP_009551.2	NP_011617.1	binding	945
NP_012123.1	NP_012988.1	binding	975
NP_009761.4	NP_012116.1	binding	985
NP_011645.3	NP_015261.1	binding	190
NP_011848.1	NP_014619.1	binding	317
NP_012039.1	NP_012949.1	binding	300
NP_013544.1	NP_014527.1	binding	879
NP_010460.1	NP_013705.1	binding	670
NP_011731.3	NP_014093.1	binding	901
NP_013175.1	NP_014338.3	binding	900
NP_015057.1	NP_015463.1	binding	900
NP_013701.1	NP_014718.1	binding	653
NP_009712.1	NP_011098.3	binding	973
NP_012778.1	NP_015435.1	binding	976
NP_010611.3	NP_013230.1	binding	985
NP_010086.2	NP_116709.3	binding	843
NP_116659.1	NP_012777.1	binding	985
NP_010611.3	NP_015107.1	binding	985
NP_010704.1	NP_013847.1	binding	199
NP_012056.1	NP_013408.1	binding	286
NP_116659.1	NP_013869.1	binding	370
NP_010737.1	NP_012949.1	binding	513
NP_010514.3	NP_012243.3	binding	270
NP_011702.1	NP_012897.3	binding	879
NP_009645.1	NP_009712.1	binding	914
NP_116656.1	NP_015113.1	binding	900
NP_010254.1	NP_011645.3	binding	906
NP_009404.1	NP_014149.1	binding	426
NP_012481.3	NP_012991.3	binding	900
NP_013103.1	NP_013727.1	binding	926
NP_012569.1	NP_012875.2	binding	219
NP_014017.1	NP_014930.1	binding	903
NP_010276.3	NP_013714.1	binding	455
NP_014151.1	NP_014986.3	binding	982
NP_013956.1	NP_014175.1	binding	900
NP_010276.3	NP_013064.1	binding	216
NP_013064.1	NP_013298.1	binding	338
NP_009984.1	NP_012823.2	binding	963
NP_014227.4	NP_014892.3	binding	900
NP_010870.1	NP_014292.3	binding	798
NP_012070.3	NP_015433.1	binding	985
NP_009761.4	NP_014126.1	binding	900
NP_012599.3	NP_013533.1	binding	606
NP_011447.1	NP_014393.1	binding	878
NP_010136.1	NP_014579.1	binding	864
NP_009475.1	NP_011979.1	binding	286
NP_009975.1	NP_013705.1	binding	794
NP_012535.3	NP_014093.1	binding	271
NP_010447.3	NP_013064.1	binding	976
NP_012865.1	NP_015513.1	binding	985
NP_010413.3	NP_010461.3	binding	161
NP_012777.1	NP_014902.3	binding	985
NP_010065.2	NP_012190.1	binding	336
NP_015085.1	NP_015433.1	binding	197
NP_013521.3	NP_015323.1	binding	985
NP_010232.1	NP_010770.3	binding	216
NP_012528.1	NP_013703.1	binding	715
NP_012535.3	NP_014262.3	binding	319
NP_012352.2	NP_015275.1	binding	840
NP_012450.1	NP_012331.1	binding	788
NP_012523.2	NP_014853.3	binding	955
NP_014132.1	NP_015147.1	binding	256
NP_009704.1	NP_015141.1	binding	823
NP_013298.1	NP_015335.1	binding	254
NP_013007.1	NP_013764.1	binding	900
NP_012070.3	NP_012777.1	binding	985
NP_012472.1	NP_013737.1	binding	772
NP_010715.3	NP_014904.3	binding	985
NP_010447.3	NP_012913.3	binding	309
NP_009712.1	NP_010888.1	binding	985
NP_012203.1	NP_013064.1	binding	349
NP_010877.3	NP_014904.3	binding	759
NP_009912.2	NP_015071.1	binding	208
NP_010618.1	NP_012058.1	binding	996
NP_011309.1	NP_014345.3	binding	290
NP_012501.1	NP_013230.1	binding	752
NP_014093.1	NP_015312.1	binding	930
NP_012123.1	NP_015317.1	binding	319
NP_010737.1	NP_013298.1	binding	985
NP_011078.3	NP_014841.1	binding	660
NP_011309.1	NP_012220.3	binding	293
NP_012292.3	NP_015341.1	binding	900
NP_011575.1	NP_014767.3	binding	662
NP_011445.1	NP_011519.3	binding	985
NP_012872.2	NP_013009.1	binding	900
NP_013317.1	NP_014802.3	binding	267
NP_013103.1	NP_015463.1	binding	900
NP_012116.1	NP_013204.1	binding	985
NP_012988.1	NP_015350.1	binding	159
NP_010280.1	NP_015247.1	binding	982
NP_013811.1	NP_014262.3	binding	267
NP_010478.3	NP_011343.1	binding	900
NP_009695.2	NP_014807.3	binding	900
NP_012173.3	NP_013879.1	binding	901
NP_011382.1	NP_011516.1	binding	209
NP_011447.1	NP_012017.1	binding	311
NP_012845.1	NP_015463.1	binding	925
NP_011577.3	NP_015435.1	binding	361
NP_013956.1	NP_015107.1	binding	985
NP_009872.1	NP_014324.3	binding	985
NP_010704.1	NP_116636.1	binding	985
NP_010326.1	NP_015006.3	binding	270
NP_011617.1	NP_013323.1	binding	967
NP_014248.3	NP_015435.1	binding	900
NP_012346.1	NP_013486.3	binding	210
NP_010125.1	NP_011774.1	binding	307
NP_012346.1	NP_014221.3	binding	985
NP_010125.1	NP_012809.1	binding	370
NP_011447.1	NP_014262.3	binding	235
NP_014508.1	NP_014867.1	binding	916
NP_009595.1	NP_013629.1	binding	900
NP_011760.3	NP_012141.1	binding	528
NP_010376.3	NP_012916.1	binding	900
NP_009871.2	NP_012116.1	binding	900
NP_010777.3	NP_015488.1	binding	928
NP_012169.1	NP_013854.1	binding	933
NP_010450.3	NP_011668.3	binding	212
NP_010737.1	NP_013103.1	binding	935
NP_010079.1	NP_014003.1	binding	175
NP_010611.3	NP_012501.1	binding	752
NP_010376.3	NP_014849.3	binding	900
NP_011486.1	NP_011956.1	binding	900
NP_011736.1	NP_015425.1	binding	879
NP_012040.1	NP_014338.3	binding	900
NP_012039.1	NP_015463.1	binding	985
NP_010901.1	NP_011631.1	binding	787
NP_013187.1	NP_013714.1	binding	896
NP_010254.1	NP_010529.3	binding	191
NP_116635.1	NP_011709.1	binding	971
NP_013064.1	NP_013427.1	binding	808
NP_009810.3	NP_014886.1	binding	700
NP_010585.3	NP_011661.2	binding	910
NP_009872.1	NP_012535.3	binding	985
NP_009393.1	NP_010244.1	binding	609
NP_014830.1	NP_015425.1	binding	576
NP_010597.3	NP_012865.1	binding	931
NP_010326.1	NP_014040.1	binding	284
NP_116659.1	NP_011892.1	binding	985
NP_011437.3	NP_011956.1	binding	910
NP_009370.1	NP_012332.1	binding	683
NP_010448.1	NP_014357.1	binding	321
NP_010761.3	NP_015489.1	binding	217
NP_010447.3	NP_015111.1	binding	905
NP_010597.3	NP_014867.1	binding	901
NP_010172.1	NP_014621.1	binding	954
NP_014784.1	NP_015309.1	binding	280
NP_014328.3	NP_014580.1	binding	175
NP_011651.3	NP_011748.3	binding	940
NP_010692.3	NP_011075.3	binding	947
NP_012018.1	NP_014091.1	binding	907
NP_014003.1	NP_014013.1	binding	153
NP_010066.1	NP_013778.1	binding	175
NP_010115.1	NP_012865.1	binding	424
NP_011392.1	NP_011848.1	binding	985
NP_011848.1	NP_013879.1	binding	662
NP_009929.1	NP_011859.1	binding	772
NP_009806.3	NP_010133.1	binding	910
NP_010079.1	NP_010326.1	binding	296
NP_012865.1	NP_012988.1	binding	818
NP_010649.1	NP_011762.1	binding	940
NP_010277.1	NP_012533.1	binding	985
NP_011774.1	NP_013105.1	binding	985
NP_009551.2	NP_013956.1	binding	985
NP_009694.3	NP_014149.1	binding	678
NP_009990.1	NP_014382.1	binding	248
NP_010498.1	NP_011321.1	binding	621
NP_010326.1	NP_011386.2	binding	982
NP_014451.1	NP_015282.1	binding	900
NP_011296.1	NP_011596.1	binding	720
NP_011098.3	NP_012569.1	binding	970
NP_014248.3	NP_015513.1	binding	900
NP_014893.1	NP_015242.1	binding	424
NP_010451.3	NP_015069.1	binding	916
NP_012194.1	NP_012420.1	binding	612
NP_011542.3	NP_011832.1	binding	172
NP_012058.1	NP_013189.1	binding	991
NP_010448.1	NP_013958.1	binding	319
NP_014003.1	NP_014262.3	binding	153
NP_009365.1	NP_015366.1	binding	928
NP_009701.3	NP_014434.1	binding	336
NP_010326.1	NP_011576.1	binding	239
NP_010693.3	NP_014527.1	binding	879
NP_011457.1	NP_014149.1	binding	263
NP_009929.1	NP_013918.1	binding	380
NP_011445.1	NP_014853.3	binding	985
NP_010287.1	NP_011098.3	binding	297
NP_010372.3	NP_011486.1	binding	900
NP_009655.2	NP_014074.1	binding	914
NP_014040.1	NP_014093.1	binding	266
NP_010447.3	NP_012243.3	binding	177
NP_010551.1	NP_011457.1	binding	242
NP_010459.1	NP_011075.3	binding	454
NP_009356.1	NP_015432.1	binding	985
NP_009780.1	NP_012740.1	binding	296
NP_014403.3	NP_015260.1	binding	954
NP_009595.1	NP_015247.1	binding	982
NP_009776.1	NP_012712.1	binding	288
NP_010167.1	NP_015156.1	binding	888
NP_009668.3	NP_116609.1	binding	297
NP_012039.1	NP_015057.1	binding	908
NP_012875.2	NP_013846.1	binding	358
NP_116636.1	NP_014867.1	binding	985
NP_010717.1	NP_014040.1	binding	992
NP_010784.1	NP_010917.3	binding	900
NP_012533.1	NP_014904.3	binding	985
NP_011675.1	NP_011957.1	binding	325
NP_011631.1	NP_013522.1	binding	567
NP_009990.1	NP_010304.3	binding	905
NP_010756.3	NP_012725.1	binding	871
NP_012777.1	NP_015433.1	binding	985
NP_012035.1	NP_014986.3	binding	215
NP_010529.3	NP_013317.1	binding	224
NP_009827.3	NP_011848.1	binding	270
NP_009704.1	NP_014393.1	binding	879
NP_011956.1	NP_012989.3	binding	864
NP_116615.1	NP_011800.3	binding	914
NP_012949.1	NP_013513.3	binding	513
NP_010917.3	NP_013109.1	binding	946
NP_011445.1	NP_014802.3	binding	928
NP_010653.1	NP_012501.1	binding	808
NP_010626.1	NP_012823.2	binding	963
NP_011314.2	NP_012116.1	binding	985
NP_009404.1	NP_014126.1	binding	522
NP_009404.1	NP_014126.1	binding	905
NP_009637.1	NP_011075.3	binding	448
NP_012639.1	NP_013677.1	binding	804
NP_009694.3	NP_014392.3	binding	351
NP_010529.3	NP_015419.1	binding	179
NP_012875.2	NP_013309.1	binding	307
NP_014262.3	NP_015141.1	binding	155
NP_009984.1	NP_012524.3	binding	900
NP_116696.2	NP_011321.1	binding	267
NP_010569.3	NP_013513.3	binding	606
NP_011309.1	NP_013408.1	binding	250
NP_013408.1	NP_013824.1	binding	202
NP_011092.1	NP_014281.1	binding	400
NP_011702.1	NP_014986.3	binding	181
NP_013230.1	NP_014017.1	binding	911
NP_009810.3	NP_012727.1	binding	497
NP_011392.1	NP_014093.1	binding	296
NP_011392.1	NP_014904.3	binding	914
NP_013727.1	NP_015463.1	binding	900
NP_010345.3	NP_010372.3	binding	910
NP_010133.1	NP_116654.1	binding	931
NP_012203.1	NP_013967.1	binding	950
NP_009872.1	NP_014175.1	binding	900
NP_009365.1	NP_015312.1	binding	293
NP_010276.3	NP_014508.1	binding	926
NP_011561.3	NP_014248.3	binding	900
NP_116654.1	NP_013513.3	binding	911
NP_011437.3	NP_015156.1	binding	903
NP_011075.3	NP_012778.1	binding	922
NP_010695.1	NP_010760.3	binding	983
NP_011344.1	NP_011956.1	binding	361
NP_009919.3	NP_015499.1	binding	708
NP_009704.1	NP_013737.1	binding	670
NP_009755.1	NP_012639.1	binding	307
NP_010617.1	NP_011562.1	binding	361
NP_009935.1	NP_011777.3	binding	197
NP_011472.1	NP_015513.1	binding	985
NP_010975.3	NP_012740.1	binding	267
NP_015350.1	NP_015487.1	binding	765
NP_012175.1	NP_012845.1	binding	911
NP_011997.1	NP_015089.1	binding	260
NP_014324.3	NP_015470.1	binding	985
NP_009929.1	NP_012018.1	binding	235
NP_013379.1	NP_015174.1	binding	179
NP_011848.1	NP_015006.3	binding	966
NP_010609.1	NP_014980.3	binding	662
NP_009645.1	NP_015335.1	binding	307
NP_011702.1	NP_013105.1	binding	581
NP_011302.1	NP_013502.3	binding	983
NP_011736.1	NP_014609.1	binding	280
NP_014566.1	NP_015376.1	binding	934
NP_013109.1	NP_013602.1	binding	338
NP_012070.3	NP_014685.1	binding	197
NP_010326.1	NP_010942.1	binding	361
NP_010223.1	NP_013109.1	binding	275
NP_012466.1	NP_014788.1	binding	933
NP_012076.3	NP_012631.3	binding	228
NP_011956.1	NP_014267.1	binding	288
NP_010128.1	NP_012018.1	binding	985
NP_014214.1	NP_015141.1	binding	884
NP_009796.1	NP_010232.1	binding	193
NP_012988.1	NP_015381.1	binding	674
NP_010066.1	NP_116635.1	binding	181
NP_014017.1	NP_014633.1	binding	911
NP_012481.3	NP_015262.1	binding	900
NP_010373.3	NP_012845.1	binding	288
NP_009621.3	NP_011605.1	binding	701
NP_009796.1	NP_012332.1	binding	640
NP_009365.1	NP_015232.1	binding	900
NP_014324.3	NP_015107.1	binding	985
NP_010786.3	NP_013126.1	binding	900
NP_010345.3	NP_015469.1	binding	910
NP_013064.1	NP_013633.1	binding	331
NP_009469.2	NP_012712.1	binding	518
NP_116710.1	NP_014902.3	binding	985
NP_013228.1	NP_014508.1	binding	860
NP_014986.3	NP_015335.1	binding	985
NP_009655.2	NP_009694.3	binding	267
NP_010611.3	NP_011605.1	binding	336
NP_013271.1	NP_015064.1	binding	984
NP_010653.1	NP_014452.1	binding	827
NP_013602.1	NP_015081.1	binding	982
NP_010524.3	NP_013179.1	binding	399
NP_009410.1	NP_012948.3	binding	258
NP_116687.1	NP_012461.1	binding	513
NP_014093.1	NP_014811.3	binding	224
NP_011617.1	NP_013007.1	binding	900
NP_014271.3	NP_014156.2	binding	360
NP_116654.1	NP_013230.1	binding	911
NP_009984.1	NP_014930.1	binding	914
NP_010451.3	NP_014217.1	binding	279
NP_013777.1	NP_015174.1	binding	216
NP_012411.1	NP_014281.1	binding	736
NP_010888.1	NP_015006.3	binding	248
NP_012148.1	NP_014271.3	binding	244
NP_011562.1	NP_014902.3	binding	262
NP_010624.3	NP_014904.3	binding	232
NP_012535.3	NP_013513.3	binding	985
NP_009701.3	NP_010877.3	binding	296
NP_010693.3	NP_014393.1	binding	755
NP_116615.1	NP_015315.1	binding	919
NP_011731.3	NP_012767.1	binding	903
NP_010330.1	NP_010597.3	binding	227
NP_010326.1	NP_014609.1	binding	280
NP_010163.1	NP_013264.1	binding	323
NP_009668.3	NP_015509.1	binding	581
NP_009810.3	NP_010402.3	binding	290
NP_009365.1	NP_014013.1	binding	279
NP_011068.1	NP_015153.1	binding	885
NP_010236.1	NP_012124.1	binding	644
NP_011447.1	NP_012018.1	binding	235
NP_010146.1	NP_013647.1	binding	163
NP_013617.1	NP_015470.1	binding	985
NP_012727.1	NP_014214.1	binding	573
NP_013967.1	NP_015111.1	binding	958
NP_009806.3	NP_014930.1	binding	900
NP_010661.3	NP_010742.1	binding	926
NP_011597.1	NP_015443.1	binding	163
NP_009806.3	NP_012466.1	binding	900
NP_009827.3	NP_010401.1	binding	240
NP_010401.1	NP_012346.1	binding	224
NP_010737.1	NP_012823.2	binding	985
NP_013727.1	NP_015199.1	binding	900
NP_009621.3	NP_010447.3	binding	905
NP_011098.3	NP_011445.1	binding	973
NP_013298.1	NP_015174.1	binding	172
NP_013218.1	NP_014802.3	binding	985
NP_013633.1	NP_014382.1	binding	198
NP_011651.3	NP_012259.3	binding	951
NP_012809.1	NP_015161.1	binding	163
NP_010448.1	NP_011523.3	binding	790
NP_010692.3	NP_012395.1	binding	985
NP_011617.1	NP_015232.1	binding	910
NP_012466.1	NP_015437.1	binding	931
NP_010401.1	NP_013956.1	binding	275
NP_010652.3	NP_014015.1	binding	905
NP_010406.3	NP_011437.3	binding	227
NP_012466.1	NP_015199.1	binding	985
NP_010460.1	NP_012923.3	binding	965
NP_014867.1	NP_015516.1	binding	974
NP_011457.1	NP_012903.1	binding	272
NP_011308.1	NP_012116.1	binding	900
NP_010339.1	NP_011517.1	binding	221
NP_011736.1	NP_014013.1	binding	280
NP_010715.3	NP_011504.3	binding	985
NP_011344.1	NP_013617.1	binding	963
NP_010942.1	NP_014262.3	binding	319
NP_011577.3	NP_014496.2	binding	537
NP_010296.3	NP_015344.1	binding	974
NP_014262.3	NP_015463.1	binding	319
NP_009712.1	NP_012778.1	binding	975
NP_010326.1	NP_010460.1	binding	982
NP_011617.1	NP_014221.3	binding	900
NP_116709.3	NP_011800.3	binding	922
NP_011604.3	NP_012018.1	binding	908
NP_010326.1	NP_014214.1	binding	827
NP_010460.1	NP_014793.1	binding	772
NP_010737.1	NP_014267.1	binding	964
NP_010487.3	NP_011628.4	binding	968
NP_010626.1	NP_011605.1	binding	258
NP_012988.1	NP_014286.1	binding	267
NP_010624.3	NP_014003.1	binding	224
NP_010448.1	NP_011084.1	binding	321
NP_010133.1	NP_011605.1	binding	336
NP_013218.1	NP_015489.1	binding	260
NP_010704.1	NP_010761.3	binding	905
NP_010372.3	NP_010376.3	binding	900
NP_010597.3	NP_012395.1	binding	930
NP_010132.1	NP_014157.1	binding	472
NP_116696.2	NP_014860.1	binding	172
NP_009872.1	NP_014930.1	binding	982
NP_014281.1	NP_014199.1	binding	568
NP_010914.3	NP_011493.1	binding	979
NP_012040.1	NP_012749.1	binding	900
NP_014793.1	NP_015425.1	binding	772
NP_012845.1	NP_015174.1	binding	196
NP_010597.3	NP_011075.3	binding	914
NP_011956.1	NP_013617.1	binding	361
NP_012949.1	NP_015463.1	binding	513
NP_012540.3	NP_014434.1	binding	336
NP_010907.3	NP_014756.3	binding	192
NP_010890.3	NP_015153.1	binding	474
NP_011604.3	NP_015199.1	binding	985
NP_014093.1	NP_015141.1	binding	338
NP_013218.1	NP_015419.1	binding	725
NP_012626.1	NP_013379.1	binding	986
NP_012897.3	NP_015335.1	binding	266
NP_011761.3	NP_013175.1	binding	771
NP_011075.3	NP_011098.3	binding	965
NP_010737.1	NP_014224.2	binding	234
NP_010326.1	NP_010693.3	binding	879
NP_010372.3	NP_011956.1	binding	949
NP_013323.1	NP_014017.1	binding	911
NP_010932.1	NP_011997.1	binding	276
NP_010253.2	NP_010621.1	binding	303
NP_013474.3	NP_014156.2	binding	537
NP_009404.1	NP_013105.1	binding	909
NP_010531.1	NP_012352.2	binding	856
NP_009928.1	NP_010452.1	binding	656
NP_011903.1	NP_014434.1	binding	666
NP_012526.1	NP_012598.1	binding	985
NP_014649.1	NP_014807.3	binding	900
NP_009975.1	NP_014147.1	binding	948
NP_010888.1	NP_014793.1	binding	198
NP_013879.1	NP_014013.1	binding	227
NP_011604.3	NP_011617.1	binding	960
NP_011092.1	NP_013408.1	binding	150
NP_009645.1	NP_014860.1	binding	984
NP_012897.3	NP_012778.1	binding	269
NP_010972.1	NP_014179.1	binding	311
NP_009780.1	NP_011456.5	binding	448
NP_010447.3	NP_015174.1	binding	905
NP_013248.1	NP_014802.3	binding	996
NP_010223.1	NP_013230.1	binding	900
NP_013206.1	NP_015242.1	binding	969
NP_013486.3	NP_014609.1	binding	254
NP_010907.3	NP_011075.3	binding	617
NP_116654.1	NP_015470.1	binding	911
NP_013230.1	NP_015313.1	binding	900
NP_015156.1	NP_015147.1	binding	642
NP_010372.3	NP_015113.1	binding	974
NP_012017.1	NP_013109.1	binding	264
NP_012655.3	NP_015247.1	binding	982
NP_011586.1	NP_014382.1	binding	152
NP_012431.1	NP_014414.3	binding	967
NP_011421.1	NP_012913.3	binding	621
NP_011956.1	NP_015470.1	binding	361
NP_010401.1	NP_010624.3	binding	634
NP_009616.1	NP_014138.1	binding	998
NP_116647.1	NP_116687.1	binding	831
NP_009694.3	NP_012892.1	binding	286
NP_011445.1	NP_014837.1	binding	985
NP_010938.1	NP_014904.3	binding	985
NP_009734.1	NP_013714.1	binding	473
NP_011445.1	NP_013522.1	binding	156
NP_011661.2	NP_015437.1	binding	928
NP_014986.3	NP_015203.1	binding	495
NP_011859.1	NP_012779.1	binding	273
NP_010578.3	NP_014793.1	binding	183
NP_011447.1	NP_011848.1	binding	365
NP_012659.1	NP_014003.1	binding	918
NP_010186.1	NP_011748.3	binding	985
NP_014336.1	NP_014444.1	binding	359
NP_013023.3	NP_014328.3	binding	271
NP_010624.3	NP_013956.1	binding	313
NP_014281.1	NP_014499.2	binding	638
NP_013727.1	NP_015107.1	binding	910
NP_012461.1	NP_012875.2	binding	271
NP_012709.1	NP_015335.1	binding	698
NP_009585.1	NP_009923.2	binding	365
NP_013963.1	NP_014217.1	binding	279
NP_011597.1	NP_014903.1	binding	997
NP_013866.1	NP_015489.1	binding	568
NP_012533.1	NP_014902.3	binding	985
NP_116656.1	NP_013764.1	binding	920
NP_009490.1	NP_116687.1	binding	469
NP_009712.1	NP_014359.3	binding	901
NP_012864.1	NP_014177.1	binding	909
NP_010946.3	NP_015111.1	binding	985
NP_012584.3	NP_013064.1	binding	985
NP_011762.1	NP_014359.3	binding	983
NP_010917.3	NP_014849.3	binding	924
NP_013105.1	NP_014900.3	binding	947
NP_014324.3	NP_014267.1	binding	951
NP_116656.1	NP_012292.3	binding	900
NP_011631.1	NP_015513.1	binding	221
NP_014151.1	NP_015513.1	binding	951
NP_013764.1	NP_015470.1	binding	963
NP_011092.1	NP_015006.3	binding	947
NP_011651.3	NP_012190.1	binding	985
NP_009637.1	NP_009694.3	binding	277
NP_010339.1	NP_013228.1	binding	270
NP_010611.3	NP_013617.1	binding	967
NP_009810.3	NP_011392.1	binding	309
NP_012639.1	NP_013117.1	binding	258
NP_010946.3	NP_014113.1	binding	625
NP_011392.1	NP_014788.1	binding	674
NP_012445.1	NP_015317.1	binding	254
NP_011956.1	NP_013811.1	binding	361
NP_014849.3	NP_015470.1	binding	860
NP_012883.1	NP_013125.1	binding	985
NP_010610.3	NP_012148.1	binding	165
NP_012501.1	NP_013379.1	binding	823
NP_010946.3	NP_012035.1	binding	985
NP_010181.2	NP_014860.1	binding	881
NP_116659.1	NP_012070.3	binding	985
NP_010372.3	NP_015470.1	binding	697
NP_009365.1	NP_009810.3	binding	317
NP_009793.1	NP_012599.3	binding	985
NP_014267.1	NP_014930.1	binding	953
NP_011929.1	NP_013246.1	binding	965
NP_010761.3	NP_013248.1	binding	985
NP_010704.1	NP_013218.1	binding	998
NP_011956.1	NP_013102.1	binding	910
NP_013066.1	NP_013109.1	binding	900
NP_011472.1	NP_012988.1	binding	485
NP_012949.1	NP_013956.1	binding	889
NP_013847.1	NP_014324.3	binding	943
NP_015232.1	NP_015469.1	binding	900
NP_011098.3	NP_012528.1	binding	925
NP_009530.1	NP_015461.1	binding	910
NP_013629.1	NP_015345.1	binding	720
NP_116674.2	NP_013408.1	binding	700
NP_010772.1	NP_014357.1	binding	700
NP_011892.1	NP_015433.1	binding	985
NP_010330.1	NP_013703.1	binding	319
NP_012501.1	NP_013777.1	binding	742
NP_009810.3	NP_012346.1	binding	280
NP_010626.1	NP_014324.3	binding	985
NP_012586.1	NP_013198.1	binding	237
NP_009815.1	NP_014498.1	binding	428
NP_011786.1	NP_013618.1	binding	286
NP_014286.1	NP_015435.1	binding	985
NP_010888.1	NP_014262.3	binding	163
NP_011392.1	NP_013544.1	binding	349
NP_012725.1	NP_013500.3	binding	163
NP_010414.3	NP_012230.3	binding	428
NP_014177.1	NP_014429.3	binding	215
NP_010310.1	NP_014357.1	binding	818
NP_009399.2	NP_010206.1	binding	719
NP_010012.1	NP_014305.1	binding	808
NP_009530.1	NP_013204.1	binding	989
NP_012777.1	NP_014800.3	binding	985
NP_010784.1	NP_013109.1	binding	900
NP_010877.3	NP_116708.1	binding	274
NP_116659.1	NP_012190.1	binding	985
NP_012540.3	NP_014903.1	binding	964
NP_013230.1	NP_014849.3	binding	860
NP_010692.3	NP_015317.1	binding	245
