Protein	GO
NP_010569.3	GO:0003723
NP_010569.3	GO:1903833
NP_010569.3	GO:0006446
NP_010569.3	GO:0016239
NP_010570.1	GO:0006644
NP_010570.1	GO:0016787
NP_010570.1	GO:0016021
NP_010570.1	GO:0000329
NP_010570.1	GO:0005773
NP_010570.1	GO:0000810
NP_010570.1	GO:0016311
NP_010570.1	GO:0016020
NP_010570.1	GO:0005774
NP_010570.1	GO:0008195
NP_010571.1	GO:0000775
NP_010571.1	GO:0051321
NP_010571.1	GO:0045128
NP_010571.1	GO:0007129
NP_010571.1	GO:0032184
NP_010571.1	GO:1990166
NP_010571.1	GO:0000802
NP_010571.1	GO:0000795
NP_010571.1	GO:0005694
NP_010571.1	GO:0033235
NP_010571.1	GO:0007131
NP_010571.1	GO:0005634
NP_010572.3	GO:0008150
NP_010572.3	GO:0055114
NP_010572.3	GO:0005575
NP_010572.3	GO:0003674
NP_010573.3	GO:0006021
NP_010573.3	GO:0046872
NP_010573.3	GO:0052833
NP_010573.3	GO:0007165
NP_010573.3	GO:0008934
NP_010573.3	GO:0005575
NP_010573.3	GO:0052832
NP_010573.3	GO:0046854
NP_010573.3	GO:0046855
NP_010573.3	GO:0052834
NP_010573.3	GO:0016787
NP_010574.1	GO:0016925
NP_010574.1	GO:0006310
NP_010574.1	GO:0006974
NP_010574.1	GO:0005634
NP_010574.1	GO:0030915
NP_010574.1	GO:0019789
NP_010574.1	GO:0006281
NP_010574.1	GO:0005737
NP_010575.1	GO:0005634
NP_010575.1	GO:0010526
NP_010575.1	GO:0000790
NP_010575.1	GO:0031124
NP_010575.1	GO:0000993
NP_010575.1	GO:0016591
NP_010575.1	GO:0042769
NP_010575.1	GO:0035861
NP_010575.1	GO:0003677
NP_010577.3	GO:0006289
NP_010577.3	GO:0005634
NP_010577.3	GO:0032508
NP_010577.3	GO:0043140
NP_010577.3	GO:0003676
NP_010577.3	GO:0005524
NP_010577.3	GO:0006974
NP_010577.3	GO:0003677
NP_010577.3	GO:0000733
NP_010577.3	GO:0016787
NP_010577.3	GO:0006281
NP_010577.3	GO:0000166
NP_010577.3	GO:0004386
NP_010578.3	GO:0016020
NP_010578.3	GO:0045047
NP_010578.3	GO:0006605
NP_010578.3	GO:0005783
NP_010578.3	GO:0000166
NP_010578.3	GO:0005047
NP_010578.3	GO:0005789
NP_010578.3	GO:0003924
NP_010578.3	GO:0006614
NP_010578.3	GO:0006886
NP_010578.3	GO:0005785
NP_010578.3	GO:0005525
NP_010579.1	GO:0005933
NP_010579.1	GO:0008298
NP_010579.1	GO:0010494
NP_010579.1	GO:0003729
NP_010579.1	GO:0000175
NP_010579.1	GO:0000900
NP_010579.1	GO:0004540
NP_010579.1	GO:0005737
NP_010579.1	GO:0000932
NP_010579.1	GO:0003730
NP_010579.1	GO:0005634
NP_010579.1	GO:0090503
NP_010579.1	GO:0005935
NP_010579.1	GO:0051301
NP_010579.1	GO:0060237
NP_010579.1	GO:0017148
NP_010579.1	GO:0007049
NP_010579.1	GO:0003723
NP_010579.1	GO:0048027
NP_010579.1	GO:0090501
NP_010579.1	GO:0000178
NP_010580.1	GO:0008117
NP_010580.1	GO:0030149
NP_010580.1	GO:0009267
NP_010580.1	GO:0019752
NP_010580.1	GO:0006665
NP_010580.1	GO:0097038
NP_010580.1	GO:0016831
NP_010580.1	GO:0005783
NP_010580.1	GO:0019722
NP_010580.1	GO:0001667
NP_010580.1	GO:0003824
NP_010580.1	GO:0006629
NP_010580.1	GO:0016829
NP_010580.1	GO:0032541
NP_010580.1	GO:0030170
NP_010581.3	GO:0005829
NP_010581.3	GO:0070823
NP_010581.3	GO:0005634
NP_010581.3	GO:0000122
NP_010581.3	GO:0031047
NP_010581.3	GO:0006325
NP_010581.3	GO:0010978
NP_010581.3	GO:0016575
NP_010581.3	GO:0004407
NP_010581.3	GO:0003682
NP_010581.3	GO:0003677
NP_010582.3	GO:0090297
NP_010582.3	GO:0003677
NP_010582.3	GO:0000150
NP_010582.3	GO:0006310
NP_010582.3	GO:0003735
NP_010582.3	GO:0005634
NP_010582.3	GO:0005762
NP_010582.3	GO:0005840
NP_010582.3	GO:0032543
NP_010582.3	GO:0006355
NP_010582.3	GO:0000002
NP_010582.3	GO:0005739
NP_010582.3	GO:0034599
NP_010582.3	GO:0003697
NP_010583.1	GO:0016020
NP_010583.1	GO:0016491
NP_010583.1	GO:0006665
NP_010583.1	GO:0005789
NP_010583.1	GO:0000170
NP_010583.1	GO:0005506
NP_010583.1	GO:0055114
NP_010583.1	GO:0005783
NP_010583.1	GO:0030148
NP_010583.1	GO:0008610
NP_010583.1	GO:0042284
NP_010583.1	GO:0006629
NP_010583.1	GO:0016021
NP_010584.1	GO:0000274
NP_010584.1	GO:0005739
NP_010584.1	GO:0006754
NP_010584.1	GO:0015986
NP_010584.1	GO:0099132
NP_010584.1	GO:0006811
NP_010584.1	GO:0046933
NP_010584.1	GO:0005743
NP_010584.1	GO:0016020
NP_010585.3	GO:0006364
NP_010585.3	GO:0015031
NP_010585.3	GO:0003674
NP_010585.3	GO:0005634
NP_010585.3	GO:0005730
NP_010585.3	GO:0000462
NP_010585.3	GO:0016192
NP_010585.3	GO:0030686
NP_010585.3	GO:0032040
NP_010586.3	GO:0003723
NP_010586.3	GO:0016301
NP_010586.3	GO:0016740
NP_010586.3	GO:0005524
NP_010586.3	GO:0006561
NP_010586.3	GO:0008652
NP_010586.3	GO:0034517
NP_010586.3	GO:0005829
NP_010586.3	GO:0016310
NP_010586.3	GO:0055129
NP_010586.3	GO:0000166
NP_010586.3	GO:0005737
NP_010586.3	GO:0004349
NP_010587.1	GO:0006378
NP_010587.1	GO:0006397
NP_010587.1	GO:0005739
NP_010587.1	GO:0005847
NP_010587.1	GO:0003723
NP_010587.1	GO:0003676
NP_010587.1	GO:0006369
NP_010587.1	GO:0005634
NP_010587.1	GO:0098789
NP_010588.1	GO:0006506
NP_010588.1	GO:0016020
NP_010588.1	GO:0051377
NP_010588.1	GO:0016021
NP_010588.1	GO:0005789
NP_010588.1	GO:0005783
NP_010589.3	GO:0016584
NP_010589.3	GO:0043565
NP_010589.3	GO:0016586
NP_010589.3	GO:0006355
NP_010589.3	GO:0003677
NP_010589.3	GO:0046872
NP_010589.3	GO:0006368
NP_010589.3	GO:0000978
NP_010589.3	GO:0006337
NP_010589.3	GO:0045944
NP_010589.3	GO:0006325
NP_010589.3	GO:0033262
NP_010589.3	GO:0008270
NP_010589.3	GO:0000981
NP_010589.3	GO:0005634
NP_010589.3	GO:0043044
NP_010589.3	GO:0015616
NP_010590.3	GO:0042026
NP_010590.3	GO:0051082
NP_010590.3	GO:0003755
NP_010590.3	GO:0005783
NP_010590.3	GO:0016018
NP_010590.3	GO:0005737
NP_010590.3	GO:0005788
NP_010590.3	GO:0000413
NP_010590.3	GO:0016853
NP_010590.3	GO:0008150
NP_010590.3	GO:0006457
NP_010591.1	GO:0090305
NP_010591.1	GO:0000166
NP_010591.1	GO:0005737
NP_010591.1	GO:0047710
NP_010591.1	GO:0003824
NP_010591.1	GO:0017111
NP_010591.1	GO:0005739
NP_010591.1	GO:0016787
NP_010591.1	GO:0005634
NP_010591.1	GO:0009164
NP_010591.1	GO:0006259
NP_010592.1	GO:0030674
NP_010592.1	GO:0019005
NP_010592.1	GO:0004842
NP_010592.1	GO:0016567
NP_010592.1	GO:0031146
NP_010593.3	GO:0006493
NP_010593.3	GO:0097502
NP_010593.3	GO:0005789
NP_010593.3	GO:0031505
NP_010593.3	GO:0005783
NP_010593.3	GO:0006486
NP_010593.3	GO:0016740
NP_010593.3	GO:0016021
NP_010593.3	GO:0008150
NP_010593.3	GO:0003674
NP_010593.3	GO:0000030
NP_010593.3	GO:0016757
NP_010593.3	GO:0097582
NP_010593.3	GO:0004169
NP_010593.3	GO:0035269
NP_010593.3	GO:0016020
NP_010594.3	GO:0005634
NP_010594.3	GO:0003713
NP_010594.3	GO:0003714
NP_010594.3	GO:0001103
NP_010594.3	GO:0070847
NP_010594.3	GO:0006357
NP_010594.3	GO:0045944
NP_010594.3	GO:0016592
NP_010594.3	GO:0003712
NP_010594.3	GO:0000122
NP_010595.1	GO:0005938
NP_010595.1	GO:0005737
NP_010595.1	GO:0008360
NP_010595.1	GO:0005856
NP_010595.1	GO:0005096
NP_010595.1	GO:0090338
NP_010595.1	GO:0017048
NP_010595.1	GO:0031106
NP_010595.1	GO:0043332
NP_010595.1	GO:0005886
NP_010595.1	GO:0005934
NP_010595.1	GO:0000131
NP_010595.1	GO:0030010
NP_010595.1	GO:0005935
NP_010595.1	GO:0005546
NP_010595.1	GO:0007096
NP_010595.1	GO:0043547
NP_010596.1	GO:0005634
NP_010596.1	GO:0043565
NP_010596.1	GO:0000978
NP_010596.1	GO:0030435
NP_010596.1	GO:0003677
NP_010596.1	GO:0010944
NP_010596.1	GO:0000122
NP_010596.1	GO:0001227
NP_010596.1	GO:0032298
NP_010596.1	GO:0030466
NP_010596.1	GO:0003688
NP_010597.3	GO:0006351
NP_010597.3	GO:0000439
NP_010597.3	GO:0008353
NP_010597.3	GO:0010314
NP_010597.3	GO:0070816
NP_010597.3	GO:0000112
NP_010597.3	GO:0005829
NP_010597.3	GO:0008094
NP_010597.3	GO:0032266
NP_010597.3	GO:0006366
NP_010597.3	GO:0006289
NP_010597.3	GO:0006360
NP_010597.3	GO:0005634
NP_010597.3	GO:0006281
NP_010597.3	GO:0006974
NP_010597.3	GO:0005675
NP_010598.3	GO:0000027
NP_010598.3	GO:0005730
NP_010598.3	GO:0005634
NP_010598.3	GO:0042254
NP_010598.3	GO:0000747
NP_010598.3	GO:0030687
NP_010599.1	GO:0016567
NP_010599.1	GO:0010008
NP_010599.1	GO:0016740
NP_010599.1	GO:0005773
NP_010599.1	GO:0032266
NP_010599.1	GO:0005768
NP_010599.1	GO:0016020
NP_010599.1	GO:0005774
NP_010599.1	GO:0000329
NP_010599.1	GO:0004842
NP_010599.1	GO:0005770
NP_010599.1	GO:0046872
NP_010600.1	GO:0005634
NP_010600.1	GO:0000111
NP_010600.1	GO:0071942
NP_010600.1	GO:0006298
NP_010600.1	GO:0003674
NP_010600.1	GO:0006974
NP_010600.1	GO:0003684
NP_010600.1	GO:0003697
NP_010600.1	GO:0006289
NP_010600.1	GO:0003677
NP_010600.1	GO:0005737
NP_010600.1	GO:0006281
NP_010601.3	GO:0000166
NP_010601.3	GO:0016301
NP_010601.3	GO:0005634
NP_010601.3	GO:0032958
NP_010601.3	GO:0016310
NP_010601.3	GO:0035299
NP_010601.3	GO:0070481
NP_010601.3	GO:0005524
NP_010601.3	GO:0052746
NP_010601.3	GO:0016740
NP_010602.3	GO:0005743
NP_010602.3	GO:0032259
NP_010602.3	GO:0005739
NP_010602.3	GO:0016020
NP_010602.3	GO:0016021
NP_010602.3	GO:0016740
NP_010602.3	GO:0008150
NP_010602.3	GO:0008168
NP_010602.3	GO:0008757
NP_010602.3	GO:0005740
NP_058151.1	GO:0000943
NP_058151.1	GO:0005737
NP_058151.1	GO:0003723
NP_058151.1	GO:0032197
NP_058150.1	GO:0003677
NP_058150.1	GO:0004540
NP_058150.1	GO:0000166
NP_058150.1	GO:0016740
NP_058150.1	GO:0071897
NP_058150.1	GO:0004518
NP_058150.1	GO:0032197
NP_058150.1	GO:0005634
NP_058150.1	GO:0046872
NP_058150.1	GO:0015074
NP_058150.1	GO:0016779
NP_058150.1	GO:0005524
NP_058150.1	GO:0000943
NP_058150.1	GO:0006278
NP_058150.1	GO:0004190
NP_058150.1	GO:0090502
NP_058150.1	GO:0003824
NP_058150.1	GO:0090501
NP_058150.1	GO:0008152
NP_058150.1	GO:0032196
NP_058150.1	GO:0006508
NP_058150.1	GO:0003676
NP_058150.1	GO:0008233
NP_058150.1	GO:0003964
NP_058150.1	GO:0003887
NP_058150.1	GO:0004519
NP_058150.1	GO:0005737
NP_058150.1	GO:0090305
NP_058150.1	GO:0004523
NP_058150.1	GO:0006310
NP_058150.1	GO:0016787
NP_058150.1	GO:0003723
NP_010603.3	GO:0003674
NP_010603.3	GO:0005575
NP_010603.3	GO:0006281
NP_010603.3	GO:0006974
NP_010604.4	GO:0000776
NP_010604.4	GO:0005634
NP_010604.4	GO:0005694
NP_010604.4	GO:0000775
NP_010604.4	GO:0034087
NP_010604.4	GO:0000778
NP_010604.4	GO:0051301
NP_010604.4	GO:0071459
NP_010604.4	GO:1905262
NP_010604.4	GO:0003674
NP_010604.4	GO:0000817
NP_010604.4	GO:0007049
NP_010604.4	GO:0051321
NP_010604.4	GO:0034508
NP_010604.4	GO:0000777
NP_010605.1	GO:0019915
NP_010605.1	GO:0016021
NP_010605.1	GO:0034389
NP_010605.1	GO:0008654
NP_010605.1	GO:0005789
NP_010605.1	GO:0003674
NP_010605.1	GO:0030176
NP_010605.1	GO:0016020
NP_010605.1	GO:0005783
NP_010606.1	GO:0043231
NP_010606.1	GO:0016020
NP_010606.1	GO:0072583
NP_010606.1	GO:0005783
NP_010606.1	GO:0005829
NP_010606.1	GO:0048309
NP_010606.1	GO:0072318
NP_010606.1	GO:0005789
NP_010606.1	GO:0031982
NP_010606.1	GO:0043130
NP_010606.1	GO:0005737
NP_010606.1	GO:0032781
NP_010606.1	GO:0006898
NP_010606.1	GO:0030276
NP_710144.3	GO:0005737
NP_710144.3	GO:0007049
NP_710144.3	GO:0051301
NP_710144.3	GO:0000777
NP_710144.3	GO:0005634
NP_710144.3	GO:0005856
NP_710144.3	GO:0042729
NP_710144.3	GO:0000776
NP_710144.3	GO:0005819
NP_710144.3	GO:0005694
NP_710144.3	GO:0008017
NP_710144.3	GO:0051987
NP_710144.3	GO:0072686
NP_710144.3	GO:0005874
NP_710144.3	GO:0031116
NP_710144.3	GO:0008608
NP_710144.3	GO:0051010
NP_710144.3	GO:0000775
NP_710144.3	GO:0007059
NP_010607.3	GO:0005737
NP_010607.3	GO:0016787
NP_010607.3	GO:0042597
NP_010607.3	GO:0006520
NP_010607.3	GO:0004067
NP_010607.3	GO:0006530
NP_010607.3	GO:0006528
NP_010609.1	GO:0000276
NP_010609.1	GO:0042407
NP_010609.1	GO:0046933
NP_010609.1	GO:0006811
NP_010609.1	GO:0016020
NP_010609.1	GO:0099132
NP_010609.1	GO:0006754
NP_010609.1	GO:0051259
NP_010609.1	GO:0045263
NP_010609.1	GO:0005198
NP_010609.1	GO:0015986
NP_010609.1	GO:0005743
NP_010609.1	GO:0015078
NP_010609.1	GO:0005739
NP_010608.1	GO:0046578
NP_010608.1	GO:0005543
NP_010608.1	GO:0005840
NP_010608.1	GO:0032543
NP_010608.1	GO:0003735
NP_010608.1	GO:0005739
NP_010608.1	GO:0030414
NP_010608.1	GO:0005762
NP_010608.1	GO:0010466
NP_010610.3	GO:0006896
NP_010610.3	GO:0046872
NP_010610.3	GO:0003676
NP_010610.3	GO:0005737
NP_010610.3	GO:0010009
NP_010610.3	GO:0000011
NP_010610.3	GO:0006895
NP_010610.3	GO:0005773
NP_010610.3	GO:0016020
NP_010610.3	GO:0005829
NP_010610.3	GO:0005634
NP_010610.3	GO:0005774
NP_010610.3	GO:0006906
NP_010610.3	GO:0032266
NP_010610.3	GO:0006904
NP_010611.3	GO:0042254
NP_010611.3	GO:0003674
NP_010611.3	GO:0032040
NP_010611.3	GO:0000462
NP_010611.3	GO:0030686
NP_010611.3	GO:0005730
NP_010611.3	GO:0006364
NP_010611.3	GO:0005634
NP_010611.3	GO:0045943
NP_010611.3	GO:0034455
NP_010612.2	GO:0030261
NP_010612.2	GO:0007049
NP_010612.2	GO:0000793
NP_010612.2	GO:0000070
NP_010612.2	GO:0070058
NP_010612.2	GO:0003682
NP_010612.2	GO:0000799
NP_010612.2	GO:0051301
NP_010612.2	GO:0010032
NP_010612.2	GO:0005737
NP_010612.2	GO:1903342
NP_010612.2	GO:0007076
NP_010612.2	GO:0005694
NP_010612.2	GO:0007130
NP_010612.2	GO:0070550
NP_010612.2	GO:0000796
NP_010612.2	GO:0005634
NP_010612.2	GO:0051307
NP_010613.1	GO:0032366
NP_010613.1	GO:0016020
NP_010613.1	GO:0120011
NP_010613.1	GO:0071944
NP_010613.1	GO:0005783
NP_010613.1	GO:0005739
NP_010613.1	GO:0031966
NP_010613.1	GO:0005737
NP_010613.1	GO:0016021
NP_010613.1	GO:0032541
NP_010613.1	GO:0032934
NP_010613.1	GO:0006915
NP_010613.1	GO:0120015
NP_010613.1	GO:0005789
NP_010615.3	GO:0031518
NP_010615.3	GO:2000766
NP_010615.3	GO:0045116
NP_010615.3	GO:0007035
NP_010615.3	GO:0000082
NP_010615.3	GO:0016567
NP_010615.3	GO:0043291
NP_010615.3	GO:0000921
NP_010615.3	GO:0005634
NP_010615.3	GO:0061630
NP_010615.3	GO:0006511
NP_010615.3	GO:0000775
NP_010615.3	GO:0043254
NP_010615.3	GO:0000777
NP_010615.3	GO:0051382
NP_010615.3	GO:0019005
NP_010615.3	GO:0034622
NP_010615.3	GO:0031146
NP_010615.3	GO:0003677
NP_010615.3	GO:0004842
NP_010615.3	GO:0000776
NP_010615.3	GO:0010458
NP_010615.3	GO:0000086
NP_010615.3	GO:0005515
NP_010615.3	GO:0005694
NP_010615.3	GO:0005737
NP_010615.3	GO:0007096
NP_010616.3	GO:0005515
NP_010616.3	GO:0005783
NP_010616.3	GO:0005778
NP_010616.3	GO:0045033
NP_010616.3	GO:0005779
NP_010616.3	GO:0032581
NP_010616.3	GO:0016021
NP_010616.3	GO:0007031
NP_010616.3	GO:0030674
NP_010616.3	GO:0005777
NP_010616.3	GO:0045046
NP_010616.3	GO:0016020
NP_010617.1	GO:0003674
NP_010617.1	GO:0005634
NP_010617.1	GO:0005737
NP_010617.1	GO:0043161
NP_010618.1	GO:0005783
NP_010618.1	GO:0034394
NP_010618.1	GO:0008233
NP_010618.1	GO:0008234
NP_010618.1	GO:0042765
NP_010618.1	GO:0016787
NP_010618.1	GO:0016020
NP_010618.1	GO:0016255
NP_010618.1	GO:0005789
NP_010618.1	GO:0006508
NP_010618.1	GO:0003923
NP_010618.1	GO:0006506
NP_010618.1	GO:0016021
NP_010619.3	GO:0033676
NP_010619.3	GO:0005759
NP_010619.3	GO:0003677
NP_010619.3	GO:0004386
NP_010619.3	GO:0016787
NP_010619.3	GO:0000166
NP_010619.3	GO:0005739
NP_010619.3	GO:0005524
NP_010619.3	GO:0032042
NP_010620.3	GO:0003674
NP_010620.3	GO:1990116
NP_010620.3	GO:0072344
NP_010620.3	GO:0005737
NP_010620.3	GO:1990112
NP_010621.1	GO:0016458
NP_010621.1	GO:0005198
NP_010621.1	GO:0043044
NP_010621.1	GO:0004386
NP_010621.1	GO:0003677
NP_010621.1	GO:0016787
NP_010621.1	GO:0042393
NP_010621.1	GO:0006338
NP_010621.1	GO:0006325
NP_010621.1	GO:0005524
NP_010621.1	GO:0043486
NP_010621.1	GO:0016887
NP_010621.1	GO:0000166
NP_010621.1	GO:0005634
NP_010621.1	GO:0000812
NP_010621.1	GO:0005829
NP_010622.1	GO:0005737
NP_010622.1	GO:0051168
NP_010622.1	GO:0042565
NP_010622.1	GO:0005515
NP_010622.1	GO:0005634
NP_010622.1	GO:0046825
NP_010622.1	GO:0005049
NP_010622.1	GO:0006611
NP_010622.1	GO:0071528
NP_010623.3	GO:0003674
NP_010623.3	GO:0008150
NP_010623.3	GO:0005575
NP_010623.3	GO:0005739
NP_010623.3	GO:0046872
NP_010623.3	GO:0005525
NP_010623.3	GO:0000166
NP_010624.3	GO:0003735
NP_010624.3	GO:0006412
NP_010624.3	GO:0003723
NP_010624.3	GO:0005763
NP_010624.3	GO:0005840
NP_010624.3	GO:0005739
NP_010624.3	GO:0019843
NP_010624.3	GO:0032543
NP_010625.1	GO:0015238
NP_010625.1	GO:0042891
NP_010625.1	GO:0016021
NP_010625.1	GO:0015297
NP_010625.1	GO:0006855
NP_010625.1	GO:0016020
NP_010625.1	GO:0055085
NP_010626.1	GO:0000472
NP_010626.1	GO:0006364
NP_010626.1	GO:0005730
NP_010626.1	GO:0000480
NP_010626.1	GO:0000447
NP_010626.1	GO:0032040
NP_010626.1	GO:0005634
NP_010626.1	GO:0004521
NP_010626.1	GO:0042254
NP_010628.3	GO:0032543
NP_010628.3	GO:0004814
NP_010628.3	GO:0016874
NP_010628.3	GO:0006420
NP_010628.3	GO:0006418
NP_010628.3	GO:0004812
NP_010628.3	GO:0005737
NP_010628.3	GO:0006412
NP_010628.3	GO:0005829
NP_010628.3	GO:0005524
NP_010628.3	GO:0005739
NP_010628.3	GO:0000166
NP_010629.3	GO:0005739
NP_010629.3	GO:0015149
NP_010629.3	GO:0016020
NP_010629.3	GO:0005215
NP_010629.3	GO:0015761
NP_010629.3	GO:0005353
NP_010629.3	GO:0015750
NP_010629.3	GO:0008645
NP_010629.3	GO:0055085
NP_010629.3	GO:0005351
NP_010629.3	GO:0015146
NP_010629.3	GO:0005355
NP_010629.3	GO:0005886
NP_010629.3	GO:1904659
NP_010629.3	GO:1902600
NP_010629.3	GO:0008643
NP_010629.3	GO:0022857
NP_010629.3	GO:0015578
NP_010629.3	GO:0015755
NP_010629.3	GO:0016021
NP_010629.3	GO:0071944
NP_010629.3	GO:0098704
NP_010629.3	GO:0005887
NP_010630.1	GO:0005355
NP_010630.1	GO:0071944
NP_010630.1	GO:0005739
NP_010630.1	GO:0022857
NP_010630.1	GO:0015149
NP_010630.1	GO:0055085
NP_010630.1	GO:0005887
NP_010630.1	GO:0008643
NP_010630.1	GO:1902600
NP_010630.1	GO:0015755
NP_010630.1	GO:0005215
NP_010630.1	GO:0005886
NP_010630.1	GO:1904659
NP_010630.1	GO:0016020
NP_010630.1	GO:0008645
NP_010630.1	GO:0015761
NP_010630.1	GO:0016021
NP_010630.1	GO:0005351
NP_010630.1	GO:0005353
NP_010630.1	GO:0098704
NP_010630.1	GO:0015578
NP_001335762.1	GO:0005575
NP_001335762.1	GO:0008150
NP_001335762.1	GO:0003674
NP_010632.1	GO:1904659
NP_010632.1	GO:0005887
NP_010632.1	GO:0015761
NP_010632.1	GO:1902600
NP_010632.1	GO:0005351
NP_010632.1	GO:0005355
NP_010632.1	GO:0005886
NP_010632.1	GO:0015755
NP_010632.1	GO:0098704
NP_010632.1	GO:0005353
NP_010632.1	GO:0008645
NP_010632.1	GO:0016021
NP_010632.1	GO:0071944
NP_010632.1	GO:0015149
NP_010632.1	GO:0055085
NP_010632.1	GO:0005215
NP_010632.1	GO:0016020
NP_010632.1	GO:0022857
NP_010632.1	GO:0015578
NP_010632.1	GO:0008643
NP_010633.3	GO:0005634
NP_010633.3	GO:0003674
NP_010633.3	GO:0034599
NP_010633.3	GO:0005737
NP_010633.3	GO:0006979
NP_010634.3	GO:0005739
NP_010634.3	GO:0003735
NP_010634.3	GO:0006801
NP_010634.3	GO:0005840
NP_010634.3	GO:0004784
NP_010634.3	GO:0046872
NP_010634.3	GO:0005763
NP_010634.3	GO:0019430
NP_010634.3	GO:0032543
NP_010634.3	GO:0055114
NP_010635.1	GO:0005938
NP_010635.1	GO:0005934
NP_010635.1	GO:0008150
NP_010635.1	GO:0006897
NP_010635.1	GO:0005737
NP_010635.1	GO:0005935
NP_010635.1	GO:0005886
NP_010635.1	GO:0016020
NP_010635.1	GO:0003674
NP_010635.1	GO:0043332
NP_010636.1	GO:0005576
NP_010636.1	GO:0008233
NP_010636.1	GO:0006508
NP_010636.1	GO:0016020
NP_010636.1	GO:0031505
NP_010636.1	GO:0005783
NP_010636.1	GO:0004190
NP_010636.1	GO:0009277
NP_010636.1	GO:0030163
NP_010636.1	GO:0005737
NP_010636.1	GO:0016021
NP_010636.1	GO:0005789
NP_010636.1	GO:0016787
NP_010637.4	GO:0005743
NP_010637.4	GO:0070071
NP_010637.4	GO:0006417
NP_010637.4	GO:0005739
NP_010637.4	GO:0016020
NP_010637.4	GO:0070131
NP_010637.4	GO:0045182
NP_010638.3	GO:0031505
NP_010638.3	GO:0003674
NP_010638.3	GO:0005794
NP_010638.3	GO:0071555
NP_010638.3	GO:0015031
NP_010639.1	GO:0006865
NP_010639.1	GO:0000329
NP_010639.1	GO:0015174
NP_010639.1	GO:0034488
NP_010639.1	GO:0016021
NP_010639.1	GO:0005774
NP_010639.1	GO:0016020
NP_010639.1	GO:0071627
NP_010639.1	GO:0005773
NP_010640.1	GO:0005758
NP_010640.1	GO:0005829
NP_010640.1	GO:0008198
NP_010640.1	GO:0019430
NP_010640.1	GO:0005739
NP_010640.1	GO:0055114
NP_010640.1	GO:0004791
NP_010640.1	GO:0034599
NP_010640.1	GO:0045454
NP_010640.1	GO:0005737
NP_010640.1	GO:0016491
NP_010641.3	GO:0004048
NP_010641.3	GO:0005737
NP_010641.3	GO:0008652
NP_010641.3	GO:0016757
NP_010641.3	GO:0016740
NP_010641.3	GO:0009073
NP_010641.3	GO:0000162
NP_010641.3	GO:0005634
NP_010641.3	GO:0005829
NP_010643.3	GO:0005634
NP_010643.3	GO:0000022
NP_010643.3	GO:0005822
NP_010643.3	GO:0051259
NP_010643.3	GO:0005816
NP_010643.3	GO:0005856
NP_010643.3	GO:0000742
NP_010643.3	GO:0005823
NP_010643.3	GO:0005737
NP_010643.3	GO:1902481
NP_010644.1	GO:0003674
NP_010644.1	GO:0007032
NP_010644.1	GO:0032880
NP_010644.1	GO:0005737
NP_010644.1	GO:0031083
NP_010645.1	GO:0015031
NP_010645.1	GO:0005802
NP_010645.1	GO:0005794
NP_010645.1	GO:0043130
NP_010645.1	GO:0043328
NP_010645.1	GO:0005829
NP_010645.1	GO:0006886
NP_010645.1	GO:0016192
NP_010645.1	GO:0006896
NP_010645.1	GO:0006895
NP_010646.4	GO:0003677
NP_010646.4	GO:0006974
NP_010646.4	GO:0005634
NP_010646.4	GO:0035267
NP_010646.4	GO:0006325
NP_010646.4	GO:0034622
NP_010646.4	GO:0003674
NP_010646.4	GO:0006281
NP_010648.3	GO:0005814
NP_010648.3	GO:0000055
NP_010648.3	GO:0003674
NP_010648.3	GO:0005634
NP_010648.3	GO:0015031
NP_010648.3	GO:0019908
NP_010648.3	GO:0000132
NP_010648.3	GO:0006611
NP_010648.3	GO:0006974
NP_010648.3	GO:0005737
NP_010648.3	GO:0019207
NP_010648.3	GO:0000079
NP_010648.3	GO:0097431
NP_010648.3	GO:0015631
NP_010648.3	GO:0007052
NP_010648.3	GO:0090307
NP_010648.3	GO:0005813
NP_010648.3	GO:0034453
NP_010649.1	GO:0000127
NP_010649.1	GO:0001003
NP_010649.1	GO:0003677
NP_010649.1	GO:0042791
NP_010649.1	GO:0005634
NP_010649.1	GO:0070898
NP_010649.1	GO:0001004
NP_010649.1	GO:0001002
NP_010649.1	GO:0006383
NP_010649.1	GO:0000995
NP_010650.1	GO:0005634
NP_010650.1	GO:0000724
NP_010650.1	GO:0033235
NP_010650.1	GO:0005737
NP_010650.1	GO:0007064
NP_010650.1	GO:0031573
NP_010650.1	GO:0030466
NP_010650.1	GO:0003674
NP_010651.3	GO:0016578
NP_010651.3	GO:0030447
NP_010651.3	GO:0043248
NP_010651.3	GO:0043161
NP_010651.3	GO:0035753
NP_010651.3	GO:0070390
NP_010651.3	GO:0005829
NP_010651.3	GO:0006511
NP_010651.3	GO:0034515
NP_010651.3	GO:0008541
NP_010651.3	GO:0072742
NP_010651.3	GO:0006406
NP_010651.3	GO:0051726
NP_010651.3	GO:0000724
NP_010651.3	GO:0003674
NP_010651.3	GO:0000502
NP_010652.3	GO:0000350
NP_010652.3	GO:0000389
NP_010652.3	GO:0006397
NP_010652.3	GO:0005681
NP_010652.3	GO:0000348
NP_010652.3	GO:0071013
NP_010652.3	GO:0008380
NP_010652.3	GO:0005634
NP_010652.3	GO:0000386
NP_010652.3	GO:0000398
NP_010652.3	GO:0034399
NP_010653.1	GO:0006364
